,name,track_id,artists,album_name,date_added,images,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2453,Chain Smoker,4Jh8aypoHtCqv5GPzZxPsz,['Chance the Rapper'],Acid Rap,2019-06-28T18:58:34Z,"['https://i.scdn.co/image/ab67616d0000b273d95ab48a8a9de3c4a2cbfe80', 'https://i.scdn.co/image/ab67616d00001e02d95ab48a8a9de3c4a2cbfe80', 'https://i.scdn.co/image/ab67616d00004851d95ab48a8a9de3c4a2cbfe80']",4Jh8aypoHtCqv5GPzZxPsz,0.661,0.557,1,-8.798,1,0.198,0.0202,0.000128,0.169,0.412,110.967,210562,4
2454,Missed Calls,3Z7dieIRSquTYqLVR15mov,['EARTHGANG'],Strays with Rabies,2019-07-10T18:29:15Z,"['https://i.scdn.co/image/228d3c8347cd3e46b2b5239dbee85e85cdefdd43', 'https://i.scdn.co/image/ccf1923ed16e55c7dc0c923bccb31694961f09a7', 'https://i.scdn.co/image/c5b17e4528283494c673628a700633d770276db3']",3Z7dieIRSquTYqLVR15mov,0.789,0.665,9,-5.201,1,0.0665,0.00775,0.0,0.109,0.324,127.914,270747,4
2455,Can't Keep Me Down,2wCFe3E57n2RpKfDvV93qL,"['Cypress Hill', 'Rusko', 'Damian Marley']",Cypress X Rusko 01,2019-07-15T13:40:39Z,"['https://i.scdn.co/image/ab67616d0000b273438bc8e6d30cad6530f21527', 'https://i.scdn.co/image/ab67616d00001e02438bc8e6d30cad6530f21527', 'https://i.scdn.co/image/ab67616d00004851438bc8e6d30cad6530f21527']",2wCFe3E57n2RpKfDvV93qL,0.505,0.866,7,-3.012,0,0.315,0.00273,0.0,0.178,0.677,169.621,202979,5
2456,Tokyo Drifting (with Denzel Curry),3AHqaOkEFKZ6zEHdiplIv7,"['Glass Animals', 'Denzel Curry']",Tokyo Drifting,2019-11-14T14:47:41Z,"['https://i.scdn.co/image/ab67616d0000b273490997bc549d6ef6c3e948b5', 'https://i.scdn.co/image/ab67616d00001e02490997bc549d6ef6c3e948b5', 'https://i.scdn.co/image/ab67616d00004851490997bc549d6ef6c3e948b5']",3AHqaOkEFKZ6zEHdiplIv7,0.708,0.496,8,-8.175,0,0.0496,0.0816,0.000109,0.102,0.412,128.914,217693,4
2457,Blue World,2hwOoMtWPtTSSn6WHV7Vp5,['Mac Miller'],Circles,2020-01-19T07:33:53Z,"['https://i.scdn.co/image/ab67616d0000b27326b7dd89810cc1a40ada642c', 'https://i.scdn.co/image/ab67616d00001e0226b7dd89810cc1a40ada642c', 'https://i.scdn.co/image/ab67616d0000485126b7dd89810cc1a40ada642c']",2hwOoMtWPtTSSn6WHV7Vp5,0.742,0.553,8,-8.98,1,0.419,0.389,0.0,0.0694,0.508,84.931,209440,4
2458,Complicated,3WfSNAoj2D8C9noPSGZZFM,['Mac Miller'],Circles,2020-01-19T07:35:42Z,"['https://i.scdn.co/image/ab67616d0000b27326b7dd89810cc1a40ada642c', 'https://i.scdn.co/image/ab67616d00001e0226b7dd89810cc1a40ada642c', 'https://i.scdn.co/image/ab67616d0000485126b7dd89810cc1a40ada642c']",3WfSNAoj2D8C9noPSGZZFM,0.831,0.36,0,-8.073,1,0.052,0.136,0.00217,0.0703,0.601,75.014,232212,4
2459,Cloud Mask,0B1UJ3oylIB4nQ3o5LBWc7,['Chester Watson'],Cloud Mask,2020-04-13T16:42:50Z,"['https://i.scdn.co/image/ab67616d0000b273c8e9eca9893f5fff5dd156c8', 'https://i.scdn.co/image/ab67616d00001e02c8e9eca9893f5fff5dd156c8', 'https://i.scdn.co/image/ab67616d00004851c8e9eca9893f5fff5dd156c8']",0B1UJ3oylIB4nQ3o5LBWc7,0.673,0.389,7,-8.673,0,0.0968,0.607,0.00184,0.104,0.121,98.036,157347,4
2460,Close to Me (feat. Jay Fresh),1eI6qaQbTTf1AcGbJUZ6we,"['SuperVision', 'Jay Fresh']",Telekinetic,2020-04-19T22:03:10Z,"['https://i.scdn.co/image/ab67616d0000b273f075dec9d05641603bbd2166', 'https://i.scdn.co/image/ab67616d00001e02f075dec9d05641603bbd2166', 'https://i.scdn.co/image/ab67616d00004851f075dec9d05641603bbd2166']",1eI6qaQbTTf1AcGbJUZ6we,0.716,0.856,10,-2.389,1,0.16,0.02,0.0,0.36,0.604,92.044,243261,4
2461,Risk - Galimatias Version,17Eb97v6hdjqA90PFGzZ04,"['FKJ', 'Bas', 'Galimatias']",Risk (Galimatias Version),2020-05-10T19:22:54Z,"['https://i.scdn.co/image/ab67616d0000b273405ccead4626be3e24758ff4', 'https://i.scdn.co/image/ab67616d00001e02405ccead4626be3e24758ff4', 'https://i.scdn.co/image/ab67616d00004851405ccead4626be3e24758ff4']",17Eb97v6hdjqA90PFGzZ04,0.551,0.453,4,-8.128,0,0.468,0.447,0.000458,0.642,0.325,206.277,208946,4
2462,Simple As...,77fcAXl6MsFPtFJG45zTUE,['Kid Cudi'],Man On The Moon: The End Of Day,2020-05-14T02:51:41Z,"['https://i.scdn.co/image/ab67616d0000b273aab2c3c3f1f3207137d915c9', 'https://i.scdn.co/image/ab67616d00001e02aab2c3c3f1f3207137d915c9', 'https://i.scdn.co/image/ab67616d00004851aab2c3c3f1f3207137d915c9']",77fcAXl6MsFPtFJG45zTUE,0.802,0.742,1,-4.607,1,0.111,0.265,0.000287,0.63,0.512,95.0,151333,4
